ev,ts,start,end,duration_ms,role,dp,tp,pid,overlap_ms,overlap_ratio,union_overlap_ms,union_overlap_ratio,overlap_intensity,max_active_recv,max_xfer_pressure_GBps,avg_step_xfer_pressure_GBps,avg_active_xfer_pressure_GBps,bytes_during_step_MB,normalized_transfer_MB_per_ms
engine_step_start,1780383778.296354,1780383778.296354,1780383778.310239,13.885021209716797,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.3102622,1780383778.3102622,1780383778.3242927,14.03045654296875,decode,0,0,1322412,10.701417922973633,0.7627277052746058,10.701417922973633,0.7627277052746058,1.0,1,3.134372142371303,2.390672471627514,3.134372142371303,33.54222622164153,2.390672471627514
engine_step_start,1780383778.3102736,1780383778.3102736,1780383778.3242154,13.941764831542969,decode,1,0,1322414,10.624170303344727,0.7620391271632807,10.624170303344727,0.7620391271632807,1.0,1,3.134372142371303,2.38851421157753,3.1343721423713036,33.30010343461218,2.3885142115775295
engine_step_start,1780383778.3242238,1780383778.3242238,1780383778.3561754,31.9516658782959,decode,1,0,1322414,44.05474662780762,1.3787934186471664,31.9516658782959,1.0,1.3787934186471664,2,3.9793679140912777,2.7043883125716905,2.7043883125716905,86.40971176845909,2.70438831257169
engine_step_start,1780383778.32431,1780383778.32431,1780383778.3562748,31.964778900146484,decode,0,0,1322412,44.0678596496582,1.3786380249123593,31.964778900146484,1.0,1.3786380249123593,2,3.9793679140912777,2.697444023499395,2.697444023499395,86.2232018066797,2.697444023499395
engine_step_start,1780383778.3561914,1780383778.3561914,1780383778.3703027,14.11128044128418,decode,1,0,1322414,20.232677459716797,1.4337945832699748,10.91766357421875,0.7736834102083228,1.8532058001397624,3,4.643996590938846,1.879835332282715,2.4297216503279406,26.526883557276026,1.8798353322827153
engine_step_start,1780383778.3562915,1780383778.3562915,1780383778.3703835,14.091968536376953,decode,0,0,1322412,20.13254165649414,1.4286536053869319,10.817527770996094,0.7676378032687037,1.8611037644362163,3,4.643996590938846,1.876407058296868,2.444391157270887,26.4422692269551,1.8764070582968682
engine_step_start,1780383778.3703187,1780383778.3703187,1780383778.3845,14.181375503540039,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.3703976,1780383778.3703976,1780383778.3844476,14.050006866455078,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.3844619,1780383778.3844619,1780383778.398539,14.077186584472656,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.384508,1780383778.384508,1780383778.398575,14.06717300415039,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.398552,1780383778.398552,1780383778.4126582,14.106273651123047,decode,0,0,1322412,2.298116683959961,0.16291451171280802,2.298116683959961,0.16291451171280802,1.0,1,2.05324300238282,0.334503081160937,2.05324300238282,4.718592,0.334503081160937
engine_step_start,1780383778.3986032,1780383778.3986032,1780383778.4126368,14.03355598449707,decode,1,0,1322414,2.298116683959961,0.16375868571719815,2.298116683959961,0.16375868571719815,1.0,1,2.05324300238282,0.3362363755282445,2.05324300238282,4.718592,0.33623637552824454
engine_step_start,1780383778.4126532,1780383778.4126532,1780383778.4266071,13.953924179077148,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.412665,1780383778.412665,1780383778.4267013,14.036417007446289,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.426616,1780383778.426616,1780383778.4405985,13.982534408569336,decode,1,0,1322414,10.923385620117188,0.7812164305079544,10.923385620117188,0.7812164305079544,1.0,1,2.899712840361374,2.265303314645194,2.899712840361374,31.6746815428726,2.2653033146451946
engine_step_start,1780383778.426719,1780383778.426719,1780383778.4406078,13.888835906982422,decode,0,0,1322412,10.932683944702148,0.7871562467813369,10.932683944702148,0.7871562467813369,1.0,1,2.899712840361374,2.282527076162509,2.899712840361374,31.701644014065458,2.282527076162509
engine_step_start,1780383778.4406145,1780383778.4406145,1780383778.45454,13.925552368164062,decode,1,0,1322414,3.163576126098633,0.22717778386522394,3.163576126098633,0.22717778386522394,1.0,1,2.899712840361374,0.6587503369188308,2.899712840361374,9.173462314308898,0.6587503369188308
engine_step_start,1780383778.440623,1780383778.440623,1780383778.4546394,14.016389846801758,decode,0,0,1322412,3.1549930572509766,0.2250931296671146,3.1549930572509766,0.2250931296671146,1.0,1,2.899712840361374,0.6527054383728599,2.899712840361374,9.148573879361644,0.6527054383728599
engine_step_start,1780383778.454548,1780383778.454548,1780383778.4686704,14.122486114501953,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.4546542,1780383778.4546542,1780383778.4687057,14.051437377929688,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.468677,1780383778.468677,1780383778.4827752,14.098167419433594,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.4687114,1780383778.4687114,1780383778.4827967,14.08529281616211,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383778.4827924,1780383778.4827924,1780383778.49675,13.957738876342773,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
