start,end,duration_ms,poll_ts,poll_slack_ms,start_time_us,start_time_raw_s,start_time_s,start_time_to_poll_ms,post_begin_to_start_time_ms,post_cpu_ms,post_duration_ms,bytes_transferred,throughput_gbps,desc_count,req,handle,role,dp,tp,pid,n_blocks,remote_engine,remote_rank,interval_source
1780280973.5139866,1780280973.5195765,5.590000000000001,1780280973.5198705,0.29397010803222656,137343475653,137343.475653,1780280973.5139866,5.883932113647461,0.0050067901611328125,5.612373352050781,5.59,12582912,2.250968157423971,768,chatcmpl-b175515a-50eb-4c8c-8aaf-ee8e49da5967-96339e14,"nixl_xfer_handle(0x5563599aa860, released=False)",decode,1,0,452712,8,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280973.5261326,1780280973.5385935,12.461,1780280973.5386205,0.026941299438476562,137343487799,137343.487799,1780280973.5261326,12.48788833618164,0.0050067901611328125,3.815889358520508,3.781,25165824,2.0195669689431024,1536,chatcmpl-e94584da-4175-4f80-aa91-e0334fe57e7c-b86af0ac,"nixl_xfer_handle(0x5af9a4192120, released=False)",decode,0,0,452715,16,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280973.5383177,1780280973.5398157,1.498,1780280973.5400782,0.2624988555908203,137343499984,137343.499984,1780280973.5383177,1.7604827880859375,0.00476837158203125,1.5208721160888672,1.498,3145728,2.099951935914553,192,chatcmpl-d2875f38-aee1-4eab-88aa-69ae4a6f4992-bedd0297,"nixl_xfer_handle(0x5563599aa860, released=False)",decode,1,0,452712,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280973.6963975,1780280973.7089465,12.549,1780280973.7089663,0.019788742065429688,137343658064,137343.658064,1780280973.6963975,12.56871223449707,0.0059604644775390625,6.597757339477539,6.577,23592960,1.8800669376045902,1440,chatcmpl-3600ba8f-c36f-4eb5-a63a-a36c10a12d8c-a978c597,"nixl_xfer_handle(0x5563599aa860, released=False)",decode,1,0,452712,15,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280973.7089067,1780280973.7171187,8.212,1780280973.717132,0.0133514404296875,137343670573,137343.670573,1780280973.7089067,8.225440979003906,0.0054836273193359375,7.849693298339844,7.828,11010048,1.3407267413541157,672,chatcmpl-fceee7fa-e890-48ef-b7e9-685d1fc2c0e4-a34910f2,"nixl_xfer_handle(0x5af9a38116c0, released=False)",decode,0,0,452715,7,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280973.7334006,1780280973.7349045,1.504,1780280973.7351654,0.2608299255371094,137343695067,137343.695067,1780280973.7334006,1.7647743225097656,0.00476837158203125,1.5263557434082031,1.504,3145728,2.0915744680851067,192,chatcmpl-f10489f9-6659-4580-bf80-7f853db19f79-a79c3ab2,"nixl_xfer_handle(0x5563599aa860, released=False)",decode,1,0,452712,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280973.7453206,1780280973.7471685,1.848,1780280973.7475524,0.3838539123535156,137343706987,137343.706987,1780280973.7453206,2.2318363189697266,0.0040531158447265625,1.8680095672607422,1.848,3145728,1.7022337662337663,192,chatcmpl-eb421faf-3fa1-40f2-9a5f-30e87c8e5ad1-a392ce24,"nixl_xfer_handle(0x5af9a38116c0, released=False)",decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280973.7577016,1780280973.7591295,1.428,1780280973.7593977,0.2682209014892578,137343719368,137343.719368,1780280973.7577016,1.6961097717285156,0.004291534423828125,1.447439193725586,1.428,3145728,2.2028907563025206,192,chatcmpl-16793e52-5993-457d-a6e7-19a2f64a9d4f-bbe783ba,"nixl_xfer_handle(0x5563599aa860, released=False)",decode,1,0,452712,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280973.7700746,1780280973.7718966,1.822,1780280973.7722967,0.4000663757324219,137343731741,137343.731741,1780280973.7700746,2.2220611572265625,0.0050067901611328125,1.8420219421386719,1.822,3145728,1.7265246981339188,192,chatcmpl-ccefb51a-8f78-4baa-920b-e2ad50c00bad-82303b2d,"nixl_xfer_handle(0x5af9a38116c0, released=False)",decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280973.7945356,1780280973.8191407,24.604999999999997,1780280973.819176,0.03528594970703125,137343756202,137343.756202,1780280973.7945356,24.640321731567383,0.00476837158203125,5.148172378540039,5.128,36175872,1.4702650680755944,2208,chatcmpl-530576a8-71f2-4c9d-851b-327f135e29a9-9508cff2,"nixl_xfer_handle(0x5563599aa860, released=False)",decode,1,0,452712,23,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280973.9429417,1780280973.9675148,24.573,1780280973.9675422,0.027418136596679688,137343904608,137343.904608,1780280973.9429417,24.600505828857422,0.00476837158203125,4.81104850769043,4.791,42467328,1.7282109632523501,2592,chatcmpl-ab58ee0c-9134-45cc-bf56-e53a9970128c-8e9c2a36,"nixl_xfer_handle(0x5af9a38116c0, released=False)",decode,0,0,452715,27,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280973.9673066,1780280973.9694235,2.117,1780280973.969682,0.25844573974609375,137343928973,137343.928973,1780280973.9673066,2.375364303588867,0.0045299530029296875,2.1381378173828125,2.117,4718592,2.228905054322154,288,chatcmpl-0b4b64b5-b6de-4ee0-b73a-64e5d4de1cfe-a2927746,"nixl_xfer_handle(0x5563599aa860, released=False)",decode,1,0,452712,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280973.9922607,1780280973.9994926,7.231999999999999,1780280973.9998424,0.3497600555419922,137343953927,137343.953927,1780280973.9922607,7.5817108154296875,0.0050067901611328125,7.254838943481445,7.232,9437184,1.304920353982301,576,chatcmpl-8b8e58a1-01fc-4fa7-957e-ca9cc3070e83-a24d2b62,"nixl_xfer_handle(0x5af9a38116c0, released=False)",decode,0,0,452715,6,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280974.0665157,1780280974.0686326,2.117,1780280974.0688906,0.2579689025878906,137344028182,137344.028182,1780280974.0665157,2.374887466430664,0.0045299530029296875,2.1369457244873047,2.117,4718592,2.228905054322154,288,chatcmpl-347e2d30-2ac9-41e0-9104-146e5b8c22d6-8b3a5dff,"nixl_xfer_handle(0x5563599aa860, released=False)",decode,1,0,452712,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
